{'MPSNR': 54.631639130088374, 'MSSIM': 0.998037555954772, 'ERGAS': 0.33157108703718347, 'SAM': 1.0393767869123318, 'CrossCorrelation': 0.99991375, 'RMSE': 0.0019355297907439391}
{'MPSNR': 42.739754284686086, 'MSSIM': 0.9930317578518493, 'ERGAS': 2.6842844141671782, 'SAM': 1.7664073806033984, 'CrossCorrelation': 0.9967198, 'RMSE': 0.007906113141262546}
{'MPSNR': 49.99607956856176, 'MSSIM': 0.9973520725730943, 'ERGAS': 0.6039465042458986, 'SAM': 1.9357186678830314, 'CrossCorrelation': 0.99985623, 'RMSE': 0.0035343799166327405}
{'MPSNR': 54.533494285717275, 'MSSIM': 0.9981667714621356, 'ERGAS': 0.9931786016748023, 'SAM': 2.295259073094242, 'CrossCorrelation': 0.99969095, 'RMSE': 0.0023066330497161502}
{'MPSNR': 51.86926913010767, 'MSSIM': 0.9960065194738985, 'ERGAS': 0.22458910597594872, 'SAM': 0.5934843111439707, 'CrossCorrelation': 0.99983454, 'RMSE': 0.002625793808925612}
{'MPSNR': 52.04182439770011, 'MSSIM': 0.9977376878448364, 'ERGAS': 1.1415897774567556, 'SAM': 2.4983234322710386, 'CrossCorrelation': 0.9991918, 'RMSE': 0.002895027008481627}
{'MPSNR': 53.7742243274063, 'MSSIM': 0.9987775751978667, 'ERGAS': 1.9563582740888503, 'SAM': 2.1048702721910963, 'CrossCorrelation': 0.9989999, 'RMSE': 0.002484993387057213}
{'MPSNR': 49.43395359827924, 'MSSIM': 0.9966591591717285, 'ERGAS': 0.899501056858471, 'SAM': 1.7394890605751232, 'CrossCorrelation': 0.999412, 'RMSE': 0.0042003599421871094}
{'MPSNR': 52.316222583734806, 'MSSIM': 0.9972676472807606, 'ERGAS': 1.0217692025472702, 'SAM': 2.3307914200849766, 'CrossCorrelation': 0.999556, 'RMSE': 0.0029526085304064924}
{'MPSNR': 51.99898378628363, 'MSSIM': 0.9970674080994077, 'ERGAS': 0.7192693493178016, 'SAM': 2.0748691407979356, 'CrossCorrelation': 0.9997995, 'RMSE': 0.0026808918661482663}
{'MPSNR': 48.84042033874272, 'MSSIM': 0.997460562668898, 'ERGAS': 0.8670661677631223, 'SAM': 1.5729995423725198, 'CrossCorrelation': 0.9995078, 'RMSE': 0.004414894359137846}
===============================================================================================================================================================================
{'MPSNR': 51.10689685739164, 'MSSIM': 0.9970513379617497, 'ERGAS': 1.0402839582848438, 'SAM': 1.8137808261754242, 'CrossCorrelation': 0.9993165677244013, 'RMSE': 0.0034488386182454133}
